epoch,step,train_loss,val_loss
0,49,27.059526443481445,
0,99,14.140731811523438,
0,149,8.065485000610352,
0,199,11.532383918762207,
0,249,3.8755624294281006,
0,250,,6.094963550567627
1,299,4.295043468475342,
1,349,3.778728485107422,
1,399,4.587716102600098,
1,449,3.3742990493774414,
1,499,3.2586522102355957,
1,501,,5.912397861480713
2,549,4.156378746032715,
2,599,3.20683217048645,
2,649,6.1964945793151855,
2,699,6.792783260345459,
2,749,4.9135308265686035,
2,752,,5.382569789886475
3,799,4.170708656311035,
3,849,3.1754705905914307,
3,899,4.465217113494873,
3,949,5.077940940856934,
